,trans_date,data
ef1bcca724f3,4/23/2017,252498.059
ef1bcca724f3,4/24/2017,155162.2088
ef1bcca724f3,4/25/2017,165300.0884
ef1bcca724f3,4/26/2017,212890.433
ef1bcca724f3,4/27/2017,222187.6463
ef1bcca724f3,4/28/2017,296446.0265
ef1bcca724f3,4/29/2017,363707.554
ef1bcca724f3,4/30/2017,269691.9261
ef1bcca724f3,5/1/2017,168226.2563
ef1bcca724f3,5/2/2017,186094.6151
ef1bcca724f3,5/3/2017,192451.4171
ef1bcca724f3,5/4/2017,193220.8787
ef1bcca724f3,5/5/2017,314054.1167
ef1bcca724f3,5/6/2017,378594.9556
ef1bcca724f3,5/7/2017,303271.6563
ef1bcca724f3,5/8/2017,173544.4042
ef1bcca724f3,5/9/2017,184871.7317
ef1bcca724f3,5/10/2017,207818.6227
ef1bcca724f3,5/11/2017,233112.9358
ef1bcca724f3,5/12/2017,321775.3279
ef1bcca724f3,5/13/2017,479535.1787
ef1bcca724f3,5/14/2017,585871.5412
ef1bcca724f3,5/15/2017,170561.3451
ef1bcca724f3,5/16/2017,190012.8341
ef1bcca724f3,5/17/2017,196475.6928
ef1bcca724f3,5/18/2017,214286.3719
ef1bcca724f3,5/19/2017,302790.7141
ef1bcca724f3,5/20/2017,378285.9031
ef1bcca724f3,5/21/2017,292726.8633
ef1bcca724f3,5/22/2017,164333.8943
ef1bcca724f3,5/23/2017,200187.1886
ef1bcca724f3,5/24/2017,234791.5144
ef1bcca724f3,5/25/2017,242533.5107
ef1bcca724f3,5/26/2017,305825.4265
ef1bcca724f3,5/27/2017,337759.8831
ef1bcca724f3,5/28/2017,293805.8351
ef1bcca724f3,5/29/2017,217596.7991
ef1bcca724f3,5/30/2017,164405.3593
ef1bcca724f3,5/31/2017,189052.8339
ef1bcca724f3,6/1/2017,229118.1931
ef1bcca724f3,6/2/2017,305921.7311
ef1bcca724f3,6/3/2017,339592.052
ef1bcca724f3,6/4/2017,283107.7421
ef1bcca724f3,6/5/2017,186342.5703
ef1bcca724f3,6/6/2017,179196.9369
ef1bcca724f3,6/7/2017,211020.1358
ef1bcca724f3,6/8/2017,220000.8308
ef1bcca724f3,6/9/2017,306635.3945
ef1bcca724f3,6/10/2017,323746.0624
ef1bcca724f3,6/11/2017,281131.1563
ef1bcca724f3,6/12/2017,169269.9645
ef1bcca724f3,6/13/2017,194683.9113
ef1bcca724f3,6/14/2017,192520.3588
ef1bcca724f3,6/15/2017,233678.8303
ef1bcca724f3,6/16/2017,313819.8097
ef1bcca724f3,6/17/2017,378456.0799
ef1bcca724f3,6/18/2017,481226.7877
ef1bcca724f3,6/19/2017,177322.5576
ef1bcca724f3,6/20/2017,194901.4988
ef1bcca724f3,6/21/2017,200028.0292
ef1bcca724f3,6/22/2017,214742.912
ef1bcca724f3,6/23/2017,310476.3714
ef1bcca724f3,6/24/2017,326293.9107
ef1bcca724f3,6/25/2017,283854.6913
ef1bcca724f3,6/26/2017,170447.7022
ef1bcca724f3,6/27/2017,176409.6775
ef1bcca724f3,6/28/2017,213194.9502
ef1bcca724f3,6/29/2017,226167.7446
ef1bcca724f3,6/30/2017,291925.5922
ef1bcca724f3,7/1/2017,303613.3222
ef1bcca724f3,7/2/2017,274581.287
ef1bcca724f3,7/3/2017,226288.8953
ef1bcca724f3,7/4/2017,192575.6825
ef1bcca724f3,7/5/2017,161543.275
ef1bcca724f3,7/6/2017,202307.2072
ef1bcca724f3,7/7/2017,288107.6011
ef1bcca724f3,7/8/2017,348750.1046
ef1bcca724f3,7/9/2017,294218.8283
ef1bcca724f3,7/10/2017,161613.3528
ef1bcca724f3,7/11/2017,200843.7203
ef1bcca724f3,7/12/2017,222391.1512
ef1bcca724f3,7/13/2017,208898.1181
